[SYSTEMD SERVICES]
UNIT FILE                                    STATE           PRESET
ldconfig.service                             static          -
lightdm.service                              enabled         disabled
lm-sensors.service                           disabled        disabled
logrotate.service                            static          -
man-db.service                               static          -
mariadb.service                              disabled        disabled
mariadb@.service                             disabled        disabled
miredo.service                               disabled        disabled
ModemManager.service                         enabled         enabled
modprobe@.service                            static          -
mosquitto.service                            disabled        disabled
mysql.service                                alias           -
mysqld.service                               alias           -
networking.service                           enabled         enabled
NetworkManager-dispatcher.service            enabled         disabled
NetworkManager-wait-online.service           enabled         disabled
NetworkManager.service                       enabled         enabled
nfs-common.service                           masked          enabled
nfs-idmapd.service                           static          -
nfs-utils.service                            static          -
nftables.service                             disabled        disabled
nginx.service                                disabled        disabled
nm-priv-helper.service                       static          -
nmbd.service                                 disabled        disabled
notus-scanner.service                        disabled        disabled
ntpsec-rotate-stats.service                  static          -
ntpsec-systemd-netif.service                 static          -
ntpsec-wait.service                          disabled        disabled
ntpsec.service                               disabled        disabled
openvpn-client@.service                      disabled        disabled
openvpn-server@.service                      disabled        disabled
openvpn.service                              disabled        disabled
openvpn@.service                             disabled        disabled
ospd-openvas.service                         disabled        disabled
pam_namespace.service                        static          -
pcscd.service                                indirect        disabled
pg_basebackup@.service                       static          -
pg_compresswal@.service                      static          -
pg_dump@.service                             static          -
pg_receivewal@.service                       disabled        disabled
phpsessionclean.service                      static          -
plocate-updatedb.service                     static          -
plymouth-halt.service                        static          -
plymouth-kexec.service                       static          -
plymouth-log.service                         alias           -
plymouth-poweroff.service                    static          -
plymouth-quit-wait.service                   static          -
plymouth-quit.service                        static          -
plymouth-read-write.service                  static          -
plymouth-reboot.service                      static          -
plymouth-start.service                       static          -
plymouth-switch-root-initramfs.service       static          -
plymouth-switch-root.service                 static          -
plymouth.service                             alias           -
polkit.service                               static          -
portmap.service                              alias           -
postgresql.service                           disabled        disabled
postgresql@.service                          indirect        disabled
procps.service                               alias           -
pulseaudio-enable-autospawn.service          masked          disabled
quotaon-root.service                         static          -
quotaon@.service                             static          -
redis-server.service                         disabled        disabled
redis-server@.service                        disabled        disabled
redsocks.service                             disabled        disabled
regenerate-ssh-host-keys.service             enabled         enabled
rescue.service                               static          -
rpc-gssd.service                             static          -
rpc-statd-notify.service                     static          -
rpc-statd.service                            static          -
rpc-svcgssd.service                          static          -
rpcbind.service                              disabled        disabled
rsync.service                                disabled        enabled
rtkit-daemon.service                         disabled        enabled
samba-ad-dc.service                          disabled        disabled
saned.service                                masked          disabled
saned@.service                               indirect        disabled
screen-cleanup.service                       masked          disabled
serial-getty@.service                        disabled        disabled
smartd.service                               alias           -
smartmontools.service                        enabled         enabled
smbd.service                                 disabled        disabled
snmpd.service                                disabled        disabled
speech-dispatcher.service                    alias           -
speech-dispatcherd.service                   disabled        disabled
ssh.service                                  disabled        disabled
sshd-unix-local@.service                     alias           -
sshd@.service                                indirect        disabled
sslh.service                                 disabled        disabled
strongswan-starter.service                   disabled        disabled
stunnel@.service                             disabled        disabled
sudo.service                                 masked          enabled
sysstat-collect.service                      static          -
sysstat-rotate.service                       static          -
sysstat-summary.service                      static          -
sysstat.service                              disabled        disabled
system-update-cleanup.service                static          -
systemd-ask-password-console.service         static          -
systemd-ask-password-plymouth.service        static          -
systemd-ask-password-wall.service            static          -
systemd-ask-password@.service                static          -
systemd-backlight@.service                   static          -
systemd-battery-check.service                static          -
systemd-binfmt.service                       static          -
systemd-boot-check-no-failures.service       disabled        disabled
systemd-bsod.service                         static          -
systemd-confext-initrd.service               static          -
systemd-confext.service                      disabled        enabled
systemd-creds@.service                       static          -
systemd-exit.service                         static          -
systemd-factory-reset-complete.service       static          -
systemd-factory-reset-reboot.service         static          -
systemd-factory-reset-request.service        static          -
systemd-factory-reset@.service               static          -
systemd-firstboot.service                    static          -
systemd-fsck-root.service                    enabled-runtime disabled
systemd-fsck@.service                        static          -
systemd-growfs-root.service                  static          -
systemd-growfs@.service                      static          -
systemd-halt.service                         static          -
systemd-hibernate-clear.service              static          -
systemd-hibernate-resume.service             static          -
systemd-hibernate.service                    static          -
systemd-hostnamed.service                    static          -
systemd-hwdb-update.service                  static          -
systemd-hybrid-sleep.service                 static          -
systemd-journal-catalog-update.service       static          -
systemd-journal-flush.service                static          -
systemd-journalctl@.service                  static          -
systemd-journald-sync@.service               static          -
systemd-journald.service                     static          -
systemd-journald@.service                    static          -
systemd-kexec.service                        static          -
systemd-localed.service                      static          -
systemd-logind.service                       static          -
systemd-loop@.service                        static          -
systemd-machine-id-commit.service            static          -
systemd-modules-load.service                 static          -
systemd-mute-console@.service                static          -
systemd-network-generator.service            disabled        enabled
systemd-networkd-persistent-storage.service  static          -
systemd-networkd-wait-online.service         disabled        enabled
systemd-networkd-wait-online@.service        disabled        disabled
systemd-networkd.service                     disabled        enabled
systemd-pcrextend@.service                   static          -
systemd-pcrfs-root.service                   static          -
systemd-pcrfs@.service                       static          -
systemd-pcrlock-file-system.service          disabled        disabled
systemd-pcrlock-firmware-code.service        disabled        disabled
systemd-pcrlock-firmware-config.service      disabled        disabled
systemd-pcrlock-machine-id.service           disabled        disabled
systemd-pcrlock-make-policy.service          disabled        disabled
systemd-pcrlock-secureboot-authority.service disabled        disabled
systemd-pcrlock-secureboot-policy.service    disabled        disabled
systemd-pcrlock@.service                     static          -
systemd-pcrmachine.service                   static          -
systemd-pcrnvdone.service                    static          -
systemd-pcrphase-factory-reset.service       static          -
systemd-pcrphase-initrd.service              static          -
systemd-pcrphase-storage-target-mode.service static          -
systemd-pcrphase-sysinit.service             static          -
systemd-pcrphase.service                     static          -
systemd-pcrproduct.service                   static          -
systemd-poweroff.service                     static          -
systemd-pstore.service                       enabled         enabled
systemd-quotacheck-root.service              static          -
systemd-quotacheck@.service                  static          -
systemd-random-seed.service                  static          -
systemd-reboot.service                       static          -
systemd-remount-fs.service                   enabled-runtime disabled
systemd-rfkill.service                       static          -
systemd-soft-reboot.service                  static          -
systemd-storagetm.service                    static          -
systemd-suspend-then-hibernate.service       static          -
systemd-suspend.service                      static          -
systemd-sysctl.service                       static          -
systemd-sysext-initrd.service                static          -
systemd-sysext.service                       disabled        enabled
systemd-sysext@.service                      static          -
systemd-sysusers.service                     static          -
systemd-timedated.service                    static          -
systemd-tmpfiles-clean.service               static          -
systemd-tmpfiles-setup-dev-early.service     static          -
systemd-tmpfiles-setup-dev.service           static          -
systemd-tmpfiles-setup.service               static          -
systemd-tpm2-clear.service                   disabled        enabled
systemd-tpm2-setup-early.service             static          -
systemd-tpm2-setup.service                   static          -
systemd-udev-load-credentials.service        disabled        disabled
systemd-udev-settle.service                  static          -
systemd-udev-trigger.service                 static          -
systemd-udevd.service                        static          -
systemd-update-done.service                  static          -
systemd-user-sessions.service                static          -
systemd-validatefs@.service                  static          -
systemd-volatile-root.service                static          -
udisks2.service                              disabled        disabled
upower.service                               disabled        disabled
usb_modeswitch@.service                      static          -
usbmuxd.service                              static          -
user-runtime-dir@.service                    static          -
user@.service                                static          -
virtualbox-guest-utils.service               enabled         enabled
vpnc@.service                                disabled        disabled
wacom-inputattach@.service                   static          -
winbind.service                              disabled        disabled
wpa_supplicant-nl80211@.service              disabled        disabled
wpa_supplicant-wired@.service                disabled        disabled
wpa_supplicant.service                       disabled        disabled
wpa_supplicant@.service                      disabled        disabled
wtmpdb-update-boot.service                   disabled        disabled
x11-common.service                           masked          disabled

282 unit files listed.
